Source,Relation,Target
Application Component,FlowRelationship,Business Actor
Application Component,AssociationRelationship,Business Actor
Application Component,TriggeringRelationship,Business Actor
Application Component,ServingRelationship,Business Actor
Application Component,FlowRelationship,Business Role 
Application Component,AssociationRelationship,Business Role 
Application Component,TriggeringRelationship,Business Role 
Application Component,ServingRelationship,Business Role 
Application Component,FlowRelationship,Business Collaboration
Application Component,AssociationRelationship,Business Collaboration
Application Component,TriggeringRelationship,Business Collaboration
Application Component,ServingRelationship,Business Collaboration
Application Component,FlowRelationship,Business Interface
Application Component,AssociationRelationship,Business Interface
Application Component,TriggeringRelationship,Business Interface
Application Component,ServingRelationship,Business Interface
Application Component,FlowRelationship,Business Process
Application Component,AssociationRelationship,Business Process
Application Component,RealizationRelationship,Business Process
Application Component,TriggeringRelationship,Business Process
Application Component,ServingRelationship,Business Process
Application Component,FlowRelationship,Business Function
Application Component,AssociationRelationship,Business Function
Application Component,RealizationRelationship,Business Function
Application Component,TriggeringRelationship,Business Function
Application Component,ServingRelationship,Business Function
Application Component,FlowRelationship,Business Interaction
Application Component,AssociationRelationship,Business Interaction
Application Component,RealizationRelationship,Business Interaction
Application Component,TriggeringRelationship,Business Interaction
Application Component,ServingRelationship,Business Interaction
Application Component,FlowRelationship,Business Event
Application Component,AssociationRelationship,Business Event
Application Component,RealizationRelationship,Business Event
Application Component,TriggeringRelationship,Business Event
Application Component,ServingRelationship,Business Event
Application Component,FlowRelationship,Business Service
Application Component,AssociationRelationship,Business Service
Application Component,RealizationRelationship,Business Service
Application Component,TriggeringRelationship,Business Service
Application Component,ServingRelationship,Business Service
Application Component,AccessRelationship,Business Object
Application Component,AssociationRelationship,Business Object
Application Component,AccessRelationship,Contract
Application Component,AssociationRelationship,Contract
Application Component,AccessRelationship,Representation
Application Component,AssociationRelationship,Representation
Application Component,FlowRelationship,Product 
Application Component,AssociationRelationship,Product 
Application Component,TriggeringRelationship,Product 
Application Component,ServingRelationship,Product 
Application Collaboration,FlowRelationship,Business Actor
Application Collaboration,AssociationRelationship,Business Actor
Application Collaboration,TriggeringRelationship,Business Actor
Application Collaboration,ServingRelationship,Business Actor
Application Collaboration,FlowRelationship,Business Role 
Application Collaboration,AssociationRelationship,Business Role 
Application Collaboration,TriggeringRelationship,Business Role 
Application Collaboration,ServingRelationship,Business Role 
Application Collaboration,FlowRelationship,Business Collaboration
Application Collaboration,AssociationRelationship,Business Collaboration
Application Collaboration,TriggeringRelationship,Business Collaboration
Application Collaboration,ServingRelationship,Business Collaboration
Application Collaboration,FlowRelationship,Business Interface
Application Collaboration,AssociationRelationship,Business Interface
Application Collaboration,TriggeringRelationship,Business Interface
Application Collaboration,ServingRelationship,Business Interface
Application Collaboration,FlowRelationship,Business Process
Application Collaboration,AssociationRelationship,Business Process
Application Collaboration,RealizationRelationship,Business Process
Application Collaboration,TriggeringRelationship,Business Process
Application Collaboration,ServingRelationship,Business Process
Application Collaboration,FlowRelationship,Business Function
Application Collaboration,AssociationRelationship,Business Function
Application Collaboration,RealizationRelationship,Business Function
Application Collaboration,TriggeringRelationship,Business Function
Application Collaboration,ServingRelationship,Business Function
Application Collaboration,FlowRelationship,Business Interaction
Application Collaboration,AssociationRelationship,Business Interaction
Application Collaboration,RealizationRelationship,Business Interaction
Application Collaboration,TriggeringRelationship,Business Interaction
Application Collaboration,ServingRelationship,Business Interaction
Application Collaboration,FlowRelationship,Business Event
Application Collaboration,AssociationRelationship,Business Event
